scientific_name,usage_key,accepted_name,rank,match_type,common_name,riesgo,parte_afectada,endemica,estatus,bloque,n_imagenes_actuales,fuente_toxicidad,url_fuente,descripcion,notas,excluida,motivo_exclusion
Pinus oocarpa,5285220,Pinus oocarpa,SPECIES,EXACT,Ocote,segura,,no,,1,50,,,,,no,
Pinus douglasiana,5285196,Pinus douglasiana,SPECIES,EXACT,Pino blanco,segura,,no,,1,19,,,,,no,
Pinus devoniana,5285019,Pinus devoniana,SPECIES,EXACT,Pino lacio,segura,,no,,1,50,,,,,no,
Pinus lumholtzii,5285228,Pinus lumholtzii,SPECIES,EXACT,Pino triste,segura,,no,,1,48,,,,,no,
Abies religiosa,2685527,Abies religiosa,SPECIES,EXACT,Oyamel,segura,,no,,1,44,,,,,no,
Cupressus lusitanica,2684046,Cupressus lusitanica,SPECIES,EXACT,Cedro blanco,segura,,no,,1,19,,,,,no,
Juniperus flaccida,2684549,Juniperus flaccida,SPECIES,EXACT,Enebro,segura,,no,,1,38,,,,,no,
Arbutus xalapensis,2882799,Arbutus xalapensis,SPECIES,EXACT,Madroño - corteza roja,segura,,no,,1,50,,,,,no,
Arbutus tessellata,4170042,Arbutus tessellata,SPECIES,EXACT,Madroño erizado,segura,,no,,1,50,,,,,no,
Clethra rosei,3718174,Clethra rosei,SPECIES,EXACT,Canelo,segura,,no,,1,15,,,,"script_data_rcimg.py trae 'No especificada' (placeholder de script de recuperación, no es un dato real); se usa el valor de especies.txt.",no,
Cleyera integrifolia,7360686,Cleyera integrifolia,SPECIES,EXACT,Palo colorado,segura,,no,,1,18,,,,"script_data_rcimg.py trae 'No especificada' (placeholder, no es un dato real); se usa el valor de especies.txt.",no,
Cornus disciflora,7322007,Cornus disciflora,SPECIES,EXACT,Aceitunillo,segura,,no,,1,18,,,,"script_data_rcimg.py trae 'No especificada' (placeholder, no es un dato real); se usa el valor de especies.txt.",no,
