archivo,especie,occurrence_key,url_original,license,rights_holder,ancho,alto
6129992835_0.jpg,Abies religiosa,6129992835,https://inaturalist-open-data.s3.amazonaws.com/photos/605477218/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Roberto,1375,2048
6133180433_0.jpg,Abies religiosa,6133180433,https://inaturalist-open-data.s3.amazonaws.com/photos/611761618/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Yian Pablo Zarate Valdez,1542,2048
6147269276_0.jpg,Abies religiosa,6147269276,https://inaturalist-open-data.s3.amazonaws.com/photos/608378617/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,nefiarenas13,1536,2048
6147638459_0.jpg,Abies religiosa,6147638459,https://inaturalist-open-data.s3.amazonaws.com/photos/611371666/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,German Cuali Valdez,1536,2048
6147640612_0.jpg,Abies religiosa,6147640612,https://inaturalist-open-data.s3.amazonaws.com/photos/613042983/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Adam Huggins,1536,2048
6147640612_1.jpg,Abies religiosa,6147640612,https://inaturalist-open-data.s3.amazonaws.com/photos/613042988/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Adam Huggins,1536,2048
6171122494_0.jpg,Abies religiosa,6171122494,https://inaturalist-open-data.s3.amazonaws.com/photos/619141326/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Scott Hudson,1152,2048
6171122494_1.jpg,Abies religiosa,6171122494,https://inaturalist-open-data.s3.amazonaws.com/photos/619141314/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Scott Hudson,1536,2048
6171122494_2.jpg,Abies religiosa,6171122494,https://inaturalist-open-data.s3.amazonaws.com/photos/619141305/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Scott Hudson,1536,2048
6171122494_3.jpg,Abies religiosa,6171122494,https://inaturalist-open-data.s3.amazonaws.com/photos/619141316/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Scott Hudson,1536,2048
6171122494_4.jpg,Abies religiosa,6171122494,https://inaturalist-open-data.s3.amazonaws.com/photos/619141322/original.jpg,http://creativecommons.org/licenses/by-nc/4.0/,Scott Hudson,1536,2048
6133075294_0.jpg,Abies religiosa,6133075294,https://inaturalist-open-data.s3.amazonaws.com/photos/612703855/original.jpg,http://creativecommons.org/licenses/by-nc-sa/4.0/,Edison Díaz,1536,2048
